dimensionality, num_edges, population_size,success_rate, min, 10th_percentile,50th_percentile,90th_percentile, max
12,66,500,1.0,1601,1601.0,2186.0,2186.0,2186
50,1225,500,0.0,100000,100000.0,100000.0,100000.0,100000
12,66,500,1.0,35,35.0,1237.0,1603.0,2949
50,1225,500,0.0,100000,100000.0,100000.0,100000.0,100000
12,66,500,1.0,151,283.3,1647.5,2095.0,2170
50,1225,500,0.0,100000,100000.0,100000.0,100000.0,100000
50,1225,500,0.0,100000,100000.0,100000.0,100000.0,100000
25,300,500,0.15,3167,5628.8,100000.0,100000.0,100000
100,4950,500,0.0,100000,100000.0,100000.0,100000.0,100000
25,300,500,0.2,6014,7470.6,100000.0,100000.0,100000
6,15,500,1.0,5,6.800000000000001,27.5,76.10000000000005,215
50,1225,500,0.0,100000,100000.0,100000.0,100000.0,100000
6,15,500,1.0,1,2.0,10.0,21.0,23
12,66,500,1.0,12,95.00000000000001,1034.5,1841.7000000000007,2270
6,15,500,1.0,1,2.0,12.5,31.500000000000007,46
6,15,500,1.0,1,1.0,23.0,76.70000000000002,115
50,1225,500,0.05,11020,100000.0,100000.0,100000.0,100000
50,1225,500,0.0,100000,100000.0,100000.0,100000.0,100000
12,66,500,1.0,106,217.0,1148.0,1575.8000000000004,2006
25,300,500,0.25,3045,6010.6,100000.0,100000.0,100000
25,300,500,0.2,3554,5648.7,100000.0,100000.0,100000
6,15,500,1.0,1,2.8000000000000003,17.5,83.80000000000003,119
100,4950,500,0.0,100000,100000.0,100000.0,100000.0,100000
100,4950,500,0.0,100000,100000.0,100000.0,100000.0,100000
100,4950,500,0.0,100000,100000.0,100000.0,100000.0,100000
12,66,500,1.0,29,219.7,541.0,1337.8000000000002,1424
12,66,500,1.0,164,256.90000000000003,911.0,1823.8000000000002,2067
12,66,500,1.0,104,213.50000000000003,1044.5,2088.5,2196
12,66,500,1.0,113,166.9,1431.5,1730.1000000000001,2013
100,4950,500,0.0,100000,100000.0,100000.0,100000.0,100000
6,15,500,1.0,3,5.7,20.5,57.70000000000001,70
100,4950,500,0.0,100000,100000.0,100000.0,100000.0,100000
25,300,500,0.55,2251,3910.0,6692.5,100000.0,100000
25,300,500,0.1,2922,90520.00000000001,100000.0,100000.0,100000
50,1225,500,0.0,100000,100000.0,100000.0,100000.0,100000
6,15,500,1.0,1,2.8000000000000003,14.5,64.1,164
100,4950,500,0.0,100000,100000.0,100000.0,100000.0,100000
50,1225,500,0.0,100000,100000.0,100000.0,100000.0,100000
50,1225,500,0.0,100000,100000.0,100000.0,100000.0,100000
25,300,500,0.15,3934,7411.0,100000.0,100000.0,100000
25,300,500,0.15,4585,5767.9,100000.0,100000.0,100000
25,300,500,0.35,4585,5137.7,100000.0,100000.0,100000
12,66,500,1.0,78,156.9,1448.0,2330.0000000000005,2716
100,4950,500,0.0,100000,100000.0,100000.0,100000.0,100000
100,4950,500,0.0,100000,100000.0,100000.0,100000.0,100000
25,300,500,0.25,3053,5338.6,100000.0,100000.0,100000
6,15,500,1.0,2,10.3,19.0,41.50000000000002,103
100,4950,500,0.0,100000,100000.0,100000.0,100000.0,100000
6,15,500,1.0,1,1.0,7.5,31.200000000000003,33
6,15,500,1.0,1,1.9000000000000001,7.5,18.400000000000006,38
